CustomerID,Gender,Location,Transaction_ID,Product_Description,Product_Category,Quantity,Avg_Price,Delivery_Charges,Coupon_Status,Date,Temperature (F),Weather Conditions
16270.0,F,Chicago,32487.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.0,Not Used,2019-07-12,70.32,scattered clouds
18168.0,F,Chicago,19204.0,YouTube Women's Short Sleeve Tri-blend Badge Tee Charcoal,Apparel,1.0,15.67,6.5,Used,2019-01-30,0.54,scattered clouds
15916.0,F,Chicago,24814.0,Android Youth Short Sleeve T-shirt Pewter,Apparel,1.0,18.99,18.36,Clicked,2019-04-04,56.01,overcast clouds
14135.0,F,Chicago,35902.0,Google Youth Short Sleeve Tee White,Apparel,5.0,15.19,12.91,Clicked,2019-08-17,82.47,broken clouds
18118.0,M,Chicago,38272.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,149.0,6.0,Clicked,2019-09-15,78.66,scattered clouds
17062.0,M,Chicago,44223.0,Google Tee Blue,Apparel,3.0,21.99,6.0,Clicked,2019-11-22,46.72,overcast clouds
14606.0,F,Chicago,40410.0,Gift Card- $100.00,Gift Cards,1.0,100.0,0.0,Clicked,2019-10-11,68.25,overcast clouds
17243.0,M,Chicago,27076.0,Google Twill Cap,Apparel,1.0,10.99,12.99,Used,2019-05-02,46.72,broken clouds
15311.0,F,Chicago,38776.0,Android Men's Pep Rally Short Sleeve Tee Navy,Apparel,1.0,9.99,6.0,Clicked,2019-09-22,76.03,overcast clouds
16898.0,M,Chicago,22321.0,Rubber Grip Ballpoint Pen 4 Pack,Office,20.0,3.99,139.57,Used,2019-03-07,30.16,broken clouds
14341.0,F,Chicago,41750.0,Google Kick Ball,Lifestyle,1.0,1.99,6.0,Clicked,2019-10-26,44.13,broken clouds
15194.0,M,Chicago,23044.0,Bottle Opener Clip,Drinkware,3.0,3.5,6.5,Clicked,2019-03-16,39.45,scattered clouds
18118.0,M,Chicago,20553.0,Sport Bag,Bags,30.0,4.99,139.84,Used,2019-02-16,20.48,broken clouds
14796.0,F,Chicago,40481.0,Google Sunglasses,Lifestyle,10.0,2.8,73.71,Used,2019-10-12,42.69,broken clouds
18198.0,F,Chicago,46398.0,Nest Learning Thermostat 3rd Gen-USA - White,Nest-USA,2.0,151.88,6.5,Used,2019-12-11,20.43,clear sky
15570.0,F,New Jersey,20890.0,Google Men's Short Sleeve Hero Tee Heather,Apparel,1.0,15.19,6.5,Not Used,2019-02-20,29.32,clear sky
17519.0,F,New Jersey,23097.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,2.0,149.0,6.5,Clicked,2019-03-17,43.05,clear sky
13117.0,M,New Jersey,18594.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,122.77,6.5,Clicked,2019-01-23,24.91,clear sky
17860.0,F,New Jersey,22466.0,26 oz Double Wall Insulated Bottle,Drinkware,1.0,19.99,6.5,Clicked,2019-03-09,35.64,overcast clouds
13869.0,F,New Jersey,31445.0,Google Men's Vintage Badge Tee Black,Apparel,1.0,10.63,12.48,Used,2019-06-28,82.02,clear sky
12472.0,F,New Jersey,42099.0,Google Women's 1/4 Zip Jacket Charcoal,Apparel,1.0,22.0,6.0,Used,2019-10-30,60.37,light rain
13089.0,F,New Jersey,22852.0,Google 3/4 Sleeve Raglan Badge Henley Black,Apparel,1.0,24.99,6.5,Clicked,2019-03-14,40.77,scattered clouds
16515.0,F,New Jersey,45988.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,121.3,6.5,Used,2019-12-07,46.04,light rain
14415.0,M,New Jersey,29148.0,Google Blackout Cap,Headgear,1.0,15.19,6.0,Not Used,2019-05-30,64.71,very heavy rain
15497.0,F,New Jersey,40516.0,Google Twill Cap,Apparel,1.0,8.79,16.85,Not Used,2019-10-12,58.66,broken clouds
14395.0,M,New Jersey,19236.0,Google Stylus Pen w/ LED Light,Office,6.0,4.54,28.78,Used,2019-01-30,41.4,moderate rain
12472.0,F,New Jersey,42106.0,Waze Men's Typography Short Sleeve Tee,Waze,1.0,15.19,6.0,Clicked,2019-10-30,60.37,light rain
17346.0,F,New Jersey,17679.0,Google Men's Long Sleeve Raglan Ocean Blue,Apparel,1.0,25.78,6.5,Clicked,2019-01-11,33.48,clear sky
15157.0,F,New Jersey,30664.0,Google Men's 100% Cotton Short Sleeve Hero Tee Black,Apparel,1.0,16.99,6.0,Clicked,2019-06-18,71.11,light rain
17454.0,M,New Jersey,29543.0,Nest Protect Smoke + CO White Battery Alarm-USA,Nest-USA,3.0,79.0,6.0,Clicked,2019-06-04,63.12,clear sky
12472.0,F,New Jersey,21435.0,Nest Learning Thermostat 3rd Gen-USA - Stainless Steel,Nest-USA,1.0,149.0,6.5,Clicked,2019-02-27,35.82,overcast clouds
12785.0,F,New Jersey,26812.0,Android Onesie Gold,Apparel,1.0,23.99,6.0,Used,2019-04-30,50.99,light rain
12472.0,F,New Jersey,42109.0,25L Classic Rucksack,Backpacks,1.0,79.99,6.0,Clicked,2019-10-30,60.37,light rain
15570.0,F,New Jersey,20879.0,Google Men's Microfiber 1/4 Zip Pullover Grey/Black,Apparel,1.0,59.99,6.5,Used,2019-02-20,29.32,clear sky
12472.0,F,New Jersey,21431.0,Google Men's Vintage Badge Tee Black,Apparel,2.0,15.19,6.5,Clicked,2019-02-27,35.82,overcast clouds
13117.0,M,New Jersey,40897.0,Nest Secure Alarm System Starter Pack - USA,Nest,1.0,349.0,6.0,Clicked,2019-10-17,60.66,heavy intensity rain
13089.0,F,New Jersey,46483.0,Google Large Standard Journal Navy,Office,25.0,13.04,12.91,Clicked,2019-12-11,53.42,light rain
13263.0,M,New Jersey,38413.0,26 oz Double Wall Insulated Bottle,Drinkware,1.0,19.99,6.5,Used,2019-09-18,62.19,clear sky
17346.0,F,New Jersey,29610.0,Nest Cam Indoor Security Camera - USA,Nest-USA,1.0,119.0,6.0,Used,2019-06-05,66.49,clear sky
14440.0,F,New Jersey,25559.0,Google Men's Bike Short Sleeve Tee Charcoal,Apparel,1.0,15.99,6.0,Clicked,2019-04-14,67.05,clear sky
14415.0,M,New Jersey,29155.0,Google Onesie Green,Apparel,2.0,19.19,20.85,Not Used,2019-05-30,64.71,very heavy rain
